Year,State,Yield
1985-86,New South Wales,1.62
1985-86,Victoria,1.55
1985-86,Queensland,1.74
1985-86,Western Australia,1.05
1985-86,South Australia,1.35
1985-86,Tasmania,2
1985-86,Australia,1.39
1986-87,New South Wales,1.57
1986-87,Victoria,2.05
1986-87,Queensland,1.05
1986-87,Western Australia,1.26
1986-87,South Australia,1.39
1986-87,Tasmania,2.5
1986-87,Australia,1.45
1987-88,New South Wales,1.62
1987-88,Victoria,1.83
1987-88,Queensland,1.11
1987-88,Western Australia,1.17
1987-88,South Australia,1.16
1987-88,Tasmania,4
1987-88,Australia,1.36
1988-89,New South Wales,1.78
1988-89,Victoria,1.82
1988-89,Queensland,2.02
1988-89,Western Australia,1.59
1988-89,South Australia,0.9
1988-89,Tasmania,2
1988-89,Australia,1.58
1989-90,New South Wales,1.61
1989-90,Victoria,2.06
1989-90,Queensland,1.59
1989-90,Western Australia,1.38
1989-90,South Australia,1.67
1989-90,Tasmania,3
1989-90,Australia,1.58
1990-91,New South Wales,1.91
1990-91,Victoria,1.64
1990-91,Queensland,1.86
1990-91,Western Australia,1.5
1990-91,South Australia,1.4
1990-91,Tasmania,2
1990-91,Australia,1.63
1991-92,New South Wales,1.46
1991-92,Victoria,1.73
1991-92,Queensland,0.7
1991-92,Western Australia,1.47
1991-92,South Australia,1.65
1991-92,Tasmania,3
1991-92,Australia,1.47
1992-93,New South Wales,2.33
1992-93,Victoria,2.53
1992-93,Queensland,0.88
1992-93,Western Australia,1.55
1992-93,South Australia,1.73
1992-93,Tasmania,4
1992-93,Australia,1.78
1993-94,New South Wales,2.57
1993-94,Victoria,2.59
1993-94,Queensland,1
1993-94,Western Australia,1.74
1993-94,South Australia,1.74
1993-94,Tasmania,3
1993-94,Australia,1.97
1994-95,New South Wales,0.61
1994-95,Victoria,1.15
1994-95,Queensland,0.56
1994-95,Western Australia,1.41
1994-95,South Australia,1.07
1994-95,Tasmania,2.19
1994-95,Australia,1.11
1995-96,New South Wales,1.94
1995-96,Victoria,2.25
1995-96,Queensland,0.83
1995-96,Western Australia,1.75
1995-96,South Australia,1.79
1995-96,Tasmania,3.86
1995-96,Australia,1.79
1996-97,New South Wales,2.62
1996-97,Victoria,2.34
1996-97,Queensland,2
1996-97,Western Australia,1.75
1996-97,South Australia,1.82
1996-97,Tasmania,3.5
1996-97,Australia,2.09
1997-98,New South Wales,2.01
1997-98,Victoria,1.75
1997-98,Queensland,1.39
1997-98,Western Australia,1.84
1997-98,South Australia,1.87
1997-98,Tasmania,4
1997-98,Australia,1.84
1998-99,New South Wales,2.14
1998-99,Victoria,1.79
1998-99,Queensland,1.76
1998-99,Western Australia,1.8
1998-99,South Australia,1.94
1998-99,Tasmania,4
1998-99,Australia,1.91
1999-00,New South Wales,2.48
1999-00,Victoria,2.12
1999-00,Queensland,1.74
1999-00,Western Australia,1.99
1999-00,South Australia,1.39
1999-00,Tasmania,3
1999-00,Australia,2.09
